M,seed,method,presolve,solver,status,rounded_optimal,rounded_optimal_within_eta,integer_error,objective_rounded,true_optimum,prep_seconds,solver_seconds,exported_rows,nnz,max_exported_violation,x
1000000000000,51,GCD-floor,True,gurobi,2,True,True,0.0,298.0,298,8.30610006232746e-05,0.0017911680006363895,13,108,0.0,"[1.0, 1.0, -0.0, -0.0, 0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0]"
1000000000000,51,Dyadic-GM,False,highs,kOptimal,False,False,7.498446308318307e-13,369.0,298,0.10217045900026278,0.02278315900002781,13,108,1.5916157281026244e-12,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 1.0000000000007498, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]"
1000000000000,51,Dyadic-GM,False,gurobi,2,False,False,0.0,369.0,298,0.10217045900026278,0.011881408999215637,13,108,1.5916157281026244e-12,"[-0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, -0.0, -0.0, 1.0, 1.0, -0.0, 0.0, 0.0, -0.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 1.0, -0.0, -0.0, 1.0]"
1000000000000,51,Dyadic-GM,True,highs,kOptimal,False,False,4.4999999999865e-12,369.0,298,0.10217045900026278,0.015041611999549787,13,108,1.5916157281026256e-12,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 4.4999999999865e-12, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, -0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0000000000000002, 0.0, 0.0, 1.0000000000000002]"
1000000000000,51,Dyadic-GM,True,gurobi,2,False,False,0.0,369.0,298,0.10217045900026278,0.009472470999753568,13,108,1.5916157281026244e-12,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]"
1000000000000,51,Pair-sum,False,highs,kOptimal,False,False,0.0,363.0,298,0.10432375099935598,0.0076937260000704555,19,144,2.2737367544323206e-13,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1000000000000,51,Pair-sum,False,gurobi,2,False,False,0.0,363.0,298,0.10432375099935598,0.0035932359996877494,19,144,2.2737367544323206e-13,"[-0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, -0.0, 0.0, -0.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 1.0, -0.0, 0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0]"
1000000000000,51,Pair-sum,True,highs,kOptimal,False,False,0.0,363.0,298,0.10432375099935598,0.006201713999871572,19,144,2.2737367544323206e-13,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1000000000000,51,Pair-sum,True,gurobi,2,False,False,0.0,363.0,298,0.10432375099935598,0.001298008000048867,19,144,2.2737367544323206e-13,"[-0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, -0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0, 0.0, -0.0, 1.0, 0.0, -0.0, -0.0, -0.0, 1.0, -0.0, -0.0, 1.0, -0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1000000000000,51,All-elimination,False,highs,kOptimal,False,False,0.0,363.0,298,0.10542869999972027,0.012180669999906968,54,318,2.2737367544323206e-13,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
