run_id,stage,shard,order,family,instance,instance_path,instance_sha256,policy,solver,gap,seed,cap_s,threads
pilot-highs-sgtm-v1_sgtm_000402-Base-g0.001-s1,pilot,14,29,SG-Ter-Mer,v1_sgtm_000402,data/benchmark-v1/sgtm/v1_sgtm_000402.txt,4eb6649501efb0fcf1d392ff23a803fbfac8eaabf928464edd0a38d5bfd88ff6,Base,highs,0.001,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000294-Base-g0.01-s1,pilot,15,30,SG-Ter-Mer,v1_sgtm_000294,data/benchmark-v1/sgtm/v1_sgtm_000294.txt,86df6b3528161316396fed774390356ce34ebba3191291c260673fe746593ae3,Base,highs,0.01,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000294-Base-g0.001-s1,pilot,15,31,SG-Ter-Mer,v1_sgtm_000294,data/benchmark-v1/sgtm/v1_sgtm_000294.txt,86df6b3528161316396fed774390356ce34ebba3191291c260673fe746593ae3,Base,highs,0.001,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000193-Base-g0.01-s1,pilot,16,32,SG-Ter-Mer,v1_sgtm_000193,data/benchmark-v1/sgtm/v1_sgtm_000193.txt,0d2da6d584902cfa09c8f5a616170df0c5f5acdfbdd56d78bf0c41615f1ede70,Base,highs,0.01,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000193-Base-g0.001-s1,pilot,16,33,SG-Ter-Mer,v1_sgtm_000193,data/benchmark-v1/sgtm/v1_sgtm_000193.txt,0d2da6d584902cfa09c8f5a616170df0c5f5acdfbdd56d78bf0c41615f1ede70,Base,highs,0.001,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000497-Base-g0.01-s1,pilot,17,34,SG-Ter-Mer,v1_sgtm_000497,data/benchmark-v1/sgtm/v1_sgtm_000497.txt,e32dc263510ea3bf3725953c245e103ba9d1b34d18be8acaebb5803da37c1d2e,Base,highs,0.01,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000497-Base-g0.001-s1,pilot,17,35,SG-Ter-Mer,v1_sgtm_000497,data/benchmark-v1/sgtm/v1_sgtm_000497.txt,e32dc263510ea3bf3725953c245e103ba9d1b34d18be8acaebb5803da37c1d2e,Base,highs,0.001,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000362-Base-g0.01-s1,pilot,18,36,SG-Ter-Mer,v1_sgtm_000362,data/benchmark-v1/sgtm/v1_sgtm_000362.txt,193820220c7574e03f5ee0625f3c83706f0a482c49748210e157942a5c82b057,Base,highs,0.01,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000362-Base-g0.001-s1,pilot,18,37,SG-Ter-Mer,v1_sgtm_000362,data/benchmark-v1/sgtm/v1_sgtm_000362.txt,193820220c7574e03f5ee0625f3c83706f0a482c49748210e157942a5c82b057,Base,highs,0.001,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000274-Base-g0.01-s1,pilot,19,38,SG-Ter-Mer,v1_sgtm_000274,data/benchmark-v1/sgtm/v1_sgtm_000274.txt,2e1156beb0b1dde20949ab5e8b2ba7be07102136f2235b7f0bab8520e21f1ffa,Base,highs,0.01,1,7200.0,1
pilot-highs-sgtm-v1_sgtm_000274-Base-g0.001-s1,pilot,19,39,SG-Ter-Mer,v1_sgtm_000274,data/benchmark-v1/sgtm/v1_sgtm_000274.txt,2e1156beb0b1dde20949ab5e8b2ba7be07102136f2235b7f0bab8520e21f1ffa,Base,highs,0.001,1,7200.0,1
pilot-highs-completo-v1_completo_000050-Base-g0.01-s1,pilot,20,40,Full,v1_completo_000050,data/benchmark-v1/completo/v1_completo_000050.txt,96d985e3ab6e0a182863fc2ca400b0f99fc0af3767687e7006181c9154bb5aca,Base,highs,0.01,1,7200.0,1
pilot-highs-completo-v1_completo_000050-Base-g0.001-s1,pilot,20,41,Full,v1_completo_000050,data/benchmark-v1/completo/v1_completo_000050.txt,96d985e3ab6e0a182863fc2ca400b0f99fc0af3767687e7006181c9154bb5aca,Base,highs,0.001,1,7200.0,1
pilot-highs-completo-v1_completo_000130-Base-g0.01-s1,pilot,21,42,Full,v1_completo_000130,data/benchmark-v1/completo/v1_completo_000130.txt,1c641fcbcc68b9c0de5dcff3d8e468552f2d83e133fd3e02864bafcb32cf6330,Base,highs,0.01,1,7200.0,1
pilot-highs-completo-v1_completo_000130-Base-g0.001-s1,pilot,21,43,Full,v1_completo_000130,data/benchmark-v1/completo/v1_completo_000130.txt,1c641fcbcc68b9c0de5dcff3d8e468552f2d83e133fd3e02864bafcb32cf6330,Base,highs,0.001,1,7200.0,1
pilot-highs-completo-v1_completo_000086-Base-g0.01-s1,pilot,22,44,Full,v1_completo_000086,data/benchmark-v1/completo/v1_completo_000086.txt,1961e4a88b4bcbd27729d95de0b5133b72c99484e48a045638599553570fded2,Base,highs,0.01,1,7200.0,1
pilot-highs-completo-v1_completo_000086-Base-g0.001-s1,pilot,22,45,Full,v1_completo_000086,data/benchmark-v1/completo/v1_completo_000086.txt,1961e4a88b4bcbd27729d95de0b5133b72c99484e48a045638599553570fded2,Base,highs,0.001,1,7200.0,1
pilot-highs-completo-v1_completo_000006-Base-g0.01-s1,pilot,23,46,Full,v1_completo_000006,data/benchmark-v1/completo/v1_completo_000006.txt,910259d2469b2f508a9cf3b785394959df2ee943a5a049a0bb9e8beb5c428729,Base,highs,0.01,1,7200.0,1
