run_id,stage,shard,order,family,instance,instance_path,instance_sha256,policy,solver,gap,seed,cap_s,threads
primary-highs-simple-v1_simple_000329-Flat-GM-g0.01-s1,primary,0,29,Simple,v1_simple_000329,data/benchmark-v1/simple/v1_simple_000329.txt,bca2eebaec089992ea1dcb315e87639e749cef6425f131e040570ae1312bc1c6,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000329-Role-Hybrid-g0.01-s1,primary,0,30,Simple,v1_simple_000329,data/benchmark-v1/simple/v1_simple_000329.txt,bca2eebaec089992ea1dcb315e87639e749cef6425f131e040570ae1312bc1c6,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000329-Base-g0.01-s1,primary,0,31,Simple,v1_simple_000329,data/benchmark-v1/simple/v1_simple_000329.txt,bca2eebaec089992ea1dcb315e87639e749cef6425f131e040570ae1312bc1c6,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000126-Flat-L2-g0.01-s1,primary,0,32,Simple,v1_simple_000126,data/benchmark-v1/simple/v1_simple_000126.txt,12b2c2e3c4bacd742c0db5fdb65aee0d18872044e383f36391b22491c2dd6770,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000126-Role-Hybrid-g0.01-s1,primary,0,33,Simple,v1_simple_000126,data/benchmark-v1/simple/v1_simple_000126.txt,12b2c2e3c4bacd742c0db5fdb65aee0d18872044e383f36391b22491c2dd6770,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000126-Flat-GM-g0.01-s1,primary,0,34,Simple,v1_simple_000126,data/benchmark-v1/simple/v1_simple_000126.txt,12b2c2e3c4bacd742c0db5fdb65aee0d18872044e383f36391b22491c2dd6770,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000126-Base-g0.01-s1,primary,0,35,Simple,v1_simple_000126,data/benchmark-v1/simple/v1_simple_000126.txt,12b2c2e3c4bacd742c0db5fdb65aee0d18872044e383f36391b22491c2dd6770,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000175-Flat-GM-g0.01-s1,primary,0,36,Simple,v1_simple_000175,data/benchmark-v1/simple/v1_simple_000175.txt,4ae09149c118f08d59f6c3a8bc000deec3ff89746c5c843ea555f4b6adae63ae,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000175-Base-g0.01-s1,primary,0,37,Simple,v1_simple_000175,data/benchmark-v1/simple/v1_simple_000175.txt,4ae09149c118f08d59f6c3a8bc000deec3ff89746c5c843ea555f4b6adae63ae,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000175-Flat-L2-g0.01-s1,primary,0,38,Simple,v1_simple_000175,data/benchmark-v1/simple/v1_simple_000175.txt,4ae09149c118f08d59f6c3a8bc000deec3ff89746c5c843ea555f4b6adae63ae,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000175-Role-Hybrid-g0.01-s1,primary,0,39,Simple,v1_simple_000175,data/benchmark-v1/simple/v1_simple_000175.txt,4ae09149c118f08d59f6c3a8bc000deec3ff89746c5c843ea555f4b6adae63ae,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000479-Role-Hybrid-g0.01-s1,primary,1,40,Simple,v1_simple_000479,data/benchmark-v1/simple/v1_simple_000479.txt,8d8e9861c53efd79f6754ab52e077366dcb3ac1c5d127e65e325b6b2c1163e78,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000479-Flat-L2-g0.01-s1,primary,1,41,Simple,v1_simple_000479,data/benchmark-v1/simple/v1_simple_000479.txt,8d8e9861c53efd79f6754ab52e077366dcb3ac1c5d127e65e325b6b2c1163e78,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000479-Base-g0.01-s1,primary,1,42,Simple,v1_simple_000479,data/benchmark-v1/simple/v1_simple_000479.txt,8d8e9861c53efd79f6754ab52e077366dcb3ac1c5d127e65e325b6b2c1163e78,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000479-Flat-GM-g0.01-s1,primary,1,43,Simple,v1_simple_000479,data/benchmark-v1/simple/v1_simple_000479.txt,8d8e9861c53efd79f6754ab52e077366dcb3ac1c5d127e65e325b6b2c1163e78,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000343-Flat-GM-g0.01-s1,primary,1,44,Simple,v1_simple_000343,data/benchmark-v1/simple/v1_simple_000343.txt,3eef11f0cacd5bbe32a7bf0b7a007af3e0223977396eebd035c823f6d6607ff3,Flat-GM,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000343-Flat-L2-g0.01-s1,primary,1,45,Simple,v1_simple_000343,data/benchmark-v1/simple/v1_simple_000343.txt,3eef11f0cacd5bbe32a7bf0b7a007af3e0223977396eebd035c823f6d6607ff3,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000343-Base-g0.01-s1,primary,1,46,Simple,v1_simple_000343,data/benchmark-v1/simple/v1_simple_000343.txt,3eef11f0cacd5bbe32a7bf0b7a007af3e0223977396eebd035c823f6d6607ff3,Base,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000343-Role-Hybrid-g0.01-s1,primary,1,47,Simple,v1_simple_000343,data/benchmark-v1/simple/v1_simple_000343.txt,3eef11f0cacd5bbe32a7bf0b7a007af3e0223977396eebd035c823f6d6607ff3,Role-Hybrid,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000450-Flat-L2-g0.01-s1,primary,1,48,Simple,v1_simple_000450,data/benchmark-v1/simple/v1_simple_000450.txt,61cfa740e353b2edd59420f963737cd92e816c3041f22b1a6e6c6244bf7d917f,Flat-L2,highs,0.01,1,1800.0,1
primary-highs-simple-v1_simple_000450-Flat-GM-g0.01-s1,primary,1,49,Simple,v1_simple_000450,data/benchmark-v1/simple/v1_simple_000450.txt,61cfa740e353b2edd59420f963737cd92e816c3041f22b1a6e6c6244bf7d917f,Flat-GM,highs,0.01,1,1800.0,1
