family,pool_version,instance,log,threads,mipgap,timelimit,status,time,work,final_gap_pct,t_gap1,integer_vars,t_gap01
Full,sealed release,v1_completo_000209,hist_banco_base/completo/part_008_of_100/logs/v1_completo_000209_base.log,1,0.001,3600.0,OPTIMAL,709.85,786.82,0.0998,29.0,3600,709.85
Full,sealed release,v1_completo_000309,hist_banco_base/completo/part_008_of_100/logs/v1_completo_000309_base.log,1,0.001,3600.0,TIME_LIMIT,3600.01,4127.33,0.1802,81.0,3600,inf
Full,sealed release,v1_completo_000409,hist_banco_base/completo/part_008_of_100/logs/v1_completo_000409_base.log,1,0.001,3600.0,OPTIMAL,2738.83,3422.64,0.1,301.0,3600,2738.83
Full,sealed release,v1_completo_000010,hist_banco_base/completo/part_009_of_100/logs/v1_completo_000010_base.log,1,0.001,3600.0,OPTIMAL,0.88,0.94,0.0,0.0,3600,0.88
Full,sealed release,v1_completo_000110,hist_banco_base/completo/part_009_of_100/logs/v1_completo_000110_base.log,1,0.001,3600.0,TIME_LIMIT,3600.0,4134.94,5.3438,inf,3600,inf
Full,sealed release,v1_completo_000210,hist_banco_base/completo/part_009_of_100/logs/v1_completo_000210_base.log,1,0.001,3600.0,OPTIMAL,29.78,41.03,0.0561,2.0,3600,29.78
Full,sealed release,v1_completo_000310,hist_banco_base/completo/part_009_of_100/logs/v1_completo_000310_base.log,1,0.001,3600.0,OPTIMAL,2.1,2.58,0.0022,2.0,3600,2.1
Full,sealed release,v1_completo_000410,hist_banco_base/completo/part_009_of_100/logs/v1_completo_000410_base.log,1,0.001,3600.0,OPTIMAL,0.87,0.9,0.0,0.0,3600,0.87
Full,sealed release,v1_completo_000011,hist_banco_base/completo/part_010_of_100/logs/v1_completo_000011_base.log,1,0.001,3600.0,OPTIMAL,2381.85,2904.17,0.0968,2270.0,3600,2381.85
Full,sealed release,v1_completo_000111,hist_banco_base/completo/part_010_of_100/logs/v1_completo_000111_base.log,1,0.001,3600.0,OPTIMAL,6.12,7.41,0.0682,6.0,3600,6.12
Full,sealed release,v1_completo_000211,hist_banco_base/completo/part_010_of_100/logs/v1_completo_000211_base.log,1,0.001,3600.0,OPTIMAL,145.82,169.92,0.0882,35.0,3600,145.82
Full,sealed release,v1_completo_000311,hist_banco_base/completo/part_010_of_100/logs/v1_completo_000311_base.log,1,0.001,3600.0,TIME_LIMIT,3600.02,4432.45,13.0629,inf,3600,inf
Full,sealed release,v1_completo_000411,hist_banco_base/completo/part_010_of_100/logs/v1_completo_000411_base.log,1,0.001,3600.0,OPTIMAL,1415.92,1721.79,0.0998,995.0,3600,1415.92
Full,sealed release,v1_completo_000012,hist_banco_base/completo/part_011_of_100/logs/v1_completo_000012_base.log,1,0.001,3600.0,OPTIMAL,370.84,455.1,0.0999,86.0,3600,370.84
Full,sealed release,v1_completo_000112,hist_banco_base/completo/part_011_of_100/logs/v1_completo_000112_base.log,1,0.001,3600.0,OPTIMAL,2965.71,3246.03,0.0999,940.0,3600,2965.71
Full,sealed release,v1_completo_000212,hist_banco_base/completo/part_011_of_100/logs/v1_completo_000212_base.log,1,0.001,3600.0,OPTIMAL,4.06,5.08,0.0289,4.0,3600,4.06
Full,sealed release,v1_completo_000312,hist_banco_base/completo/part_011_of_100/logs/v1_completo_000312_base.log,1,0.001,3600.0,OPTIMAL,576.82,679.46,0.0906,6.0,3600,576.82
Full,sealed release,v1_completo_000412,hist_banco_base/completo/part_011_of_100/logs/v1_completo_000412_base.log,1,0.001,3600.0,OPTIMAL,1712.53,2045.76,0.0986,1475.0,3600,1712.53
Full,sealed release,v1_completo_000013,hist_banco_base/completo/part_012_of_100/logs/v1_completo_000013_base.log,1,0.001,3600.0,OPTIMAL,3.33,4.03,0.0765,3.0,3600,3.33
Full,sealed release,v1_completo_000113,hist_banco_base/completo/part_012_of_100/logs/v1_completo_000113_base.log,1,0.001,3600.0,OPTIMAL,366.93,431.24,0.1,68.0,3600,366.93
Full,sealed release,v1_completo_000213,hist_banco_base/completo/part_012_of_100/logs/v1_completo_000213_base.log,1,0.001,3600.0,OPTIMAL,159.53,173.97,0.0996,22.0,3600,159.53
Full,sealed release,v1_completo_000313,hist_banco_base/completo/part_012_of_100/logs/v1_completo_000313_base.log,1,0.001,3600.0,OPTIMAL,1996.16,2362.31,0.0998,88.0,3600,1996.16
Full,sealed release,v1_completo_000413,hist_banco_base/completo/part_012_of_100/logs/v1_completo_000413_base.log,1,0.001,3600.0,TIME_LIMIT,3600.0,4069.21,0.6938,2730.0,3600,inf
Full,sealed release,v1_completo_000014,hist_banco_base/completo/part_013_of_100/logs/v1_completo_000014_base.log,1,0.001,3600.0,OPTIMAL,30.17,35.72,0.0995,25.0,3600,30.17
Full,sealed release,v1_completo_000114,hist_banco_base/completo/part_013_of_100/logs/v1_completo_000114_base.log,1,0.001,3600.0,OPTIMAL,884.67,1122.25,0.0995,160.0,3600,884.67
Full,sealed release,v1_completo_000214,hist_banco_base/completo/part_013_of_100/logs/v1_completo_000214_base.log,1,0.001,3600.0,OPTIMAL,53.99,69.35,0.0021,3.0,3600,53.99
Full,sealed release,v1_completo_000314,hist_banco_base/completo/part_013_of_100/logs/v1_completo_000314_base.log,1,0.001,3600.0,OPTIMAL,677.24,827.59,0.0975,545.0,3600,677.24
Full,sealed release,v1_completo_000414,hist_banco_base/completo/part_013_of_100/logs/v1_completo_000414_base.log,1,0.001,3600.0,OPTIMAL,157.5,215.61,0.0995,5.0,3600,157.5
Full,sealed release,v1_completo_000015,hist_banco_base/completo/part_014_of_100/logs/v1_completo_000015_base.log,1,0.001,3600.0,TIME_LIMIT,3600.01,4067.42,0.52,250.0,3600,inf
Full,sealed release,v1_completo_000115,hist_banco_base/completo/part_014_of_100/logs/v1_completo_000115_base.log,1,0.001,3600.0,OPTIMAL,5.91,6.34,0.049,2.0,3600,5.91
Full,sealed release,v1_completo_000215,hist_banco_base/completo/part_014_of_100/logs/v1_completo_000215_base.log,1,0.001,3600.0,OPTIMAL,121.85,154.78,0.0911,66.0,3600,121.85
Full,sealed release,v1_completo_000315,hist_banco_base/completo/part_014_of_100/logs/v1_completo_000315_base.log,1,0.001,3600.0,OPTIMAL,41.66,58.29,0.0999,32.0,3600,41.66
Full,sealed release,v1_completo_000415,hist_banco_base/completo/part_014_of_100/logs/v1_completo_000415_base.log,1,0.001,3600.0,OPTIMAL,2412.93,3025.86,0.0995,39.0,3600,2412.93
Full,sealed release,v1_completo_000016,hist_banco_base/completo/part_015_of_100/logs/v1_completo_000016_base.log,1,0.001,3600.0,OPTIMAL,70.5,89.39,0.0992,10.0,3600,70.5
Full,sealed release,v1_completo_000116,hist_banco_base/completo/part_015_of_100/logs/v1_completo_000116_base.log,1,0.001,3600.0,OPTIMAL,3343.22,3617.81,0.1,75.0,3600,3343.22
