family,M,method,solver,configurations,median_optimize_seconds,q25_optimize_seconds,q75_optimize_seconds,min_optimize_seconds,max_optimize_seconds,median_prep_plus_optimize_seconds
multilevel,1000000000,Dyadic-GM,highs,8,0.01377778099958955,0.0103827705006551,0.0227359397504187,0.009040802000527,0.0280150500002491,0.02308663049916495
multilevel,1000000000,Dyadic-GM,gurobi,8,0.004955977499776,0.0042132950002269,0.0067810529999405246,0.0022496530000353,0.0128170900024997,0.01436688250032595
multilevel,1000000000,Rounded-direction,highs,8,0.02375661100086285,0.019980906501586924,0.02549348575121255,0.0180762740019417,0.0310976690016104,0.03488270100206125
multilevel,1000000000,Rounded-direction,gurobi,8,0.0037051269991934498,0.0031008907508293998,0.00443060000088735,0.0019025180008611,0.0053716399997938,0.014904400999512249
multilevel,1000000000,Rational-direction,highs,8,0.01050299700182215,0.01010823374781465,0.01099157599855965,0.0045111990002624,0.0115463319998525,0.02891759500198525
multilevel,1000000000,Rational-direction,gurobi,8,0.00332014099876685,0.00269702475179655,0.003809565001574775,0.0020699759988929,0.0041567240004951,0.021672940500138703
multilevel,1000000000,Oracle-direction,highs,8,0.01093680850135565,0.0100309677500263,0.0129027519988085,0.0044693480012938,0.0179695789993274,0.017300229001193553
multilevel,1000000000,Oracle-direction,gurobi,8,0.0033634895007707503,0.002338405251066425,0.004061461749188275,0.0020907769976474,0.0043269679990771,0.009721420501591551
multilevel,1000000000,Rounded-all,highs,8,0.01080506149992285,0.0100863852485417,0.011041091249353424,0.0045385239973256,0.0112748559986357,0.051625608497488304
multilevel,1000000000,Rounded-all,gurobi,8,0.00332025250099825,0.002641768999637775,0.003951654249249175,0.0020999340013077,0.7390089520013134,0.0444153864973485
multilevel,1000000,Rounded-all,highs,8,0.010523644999920999,0.01009613849873855,0.010974968499795,0.0045463839996955,0.0111677270033396,0.048803925001266055
multilevel,1000000,Rounded-all,gurobi,8,0.00328597949919635,0.0026852415021494,0.0038363917483365748,0.0020940940012224,0.0041094420012086,0.0414523644994914
multilevel,1000,Rounded-all,highs,8,0.0105925945008493,0.00851371399949125,0.011729033750270875,0.0052469549991656,0.0141891210005269,0.012095555000996551
multilevel,1000,Rounded-all,gurobi,8,0.0034427669997967,0.003025750249435,0.004502874498939475,0.0020729300013044,0.0055728440020175,0.0049863710009958005
