M,seed,method,solver,presolve,status,rounded_feasible,rounded_optimal,integer_error,objective_rounded,true_optimum,prep_seconds,solver_seconds,nodes,rows,nnz,max_coefficient,all_rows_gap_safe,max_exported_violation,campaign,family,posthoc_control,solver_reported_optimal,within_integrality_tolerance,gap_certificate_reported,prep_plus_optimize_seconds,source_rows,source_variables,source_max_coefficient
1000000000,102,Rounded-direction,gurobi,True,2,True,True,0.0,695,695,0.0109557700016011,0.0027078900020569,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.013663660003657999,25,72,4000000007.0
1000000000,102,Rational-direction,highs,False,kOptimal,True,True,0.0,695,695,0.0124920490015938,0.012396644000546,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.0248886930021398,25,72,4000000007.0
1000000000,102,Rational-direction,gurobi,False,2,True,True,0.0,695,695,0.0124920490015938,0.0046692550022271,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.0171613040038209,25,72,4000000007.0
1000000000,102,Rational-direction,highs,True,kOptimal,True,True,0.0,695,695,0.0124920490015938,0.0101016250009706,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.0225936740025644,25,72,4000000007.0
1000000000,102,Rational-direction,gurobi,True,2,True,True,0.0,695,695,0.0124920490015938,0.0027199850010219,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.015212034002615699,25,72,4000000007.0
1000000000,103,Rounded-direction,highs,False,kOptimal,True,True,0.0,616,616,0.0104142500022135,0.0226551119994837,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0330693620016972,25,72,4000000007.0
1000000000,103,Rounded-direction,gurobi,False,2,True,True,0.0,616,616,0.0104142500022135,0.0127616819991089,3.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0231759320013224,25,72,4000000007.0
1000000000,103,Rounded-direction,highs,True,kOptimal,True,True,0.0,616,616,0.0104142500022135,0.0119679909985279,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0223822410007414,25,72,4000000007.0
1000000000,103,Rounded-direction,gurobi,True,2,True,True,0.0,616,616,0.0104142500022135,0.0041915209985745,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.014605771000788,25,72,4000000007.0
1000000000,103,Rational-direction,highs,False,kOptimal,True,True,0.0,616,616,0.0126551180001115,0.0239599460001045,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.036615064000216,25,72,4000000007.0
1000000000,103,Rational-direction,gurobi,False,2,True,True,0.0,616,616,0.0126551180001115,0.0135889009980019,3.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0262440189981134,25,72,4000000007.0
1000000000,103,Rational-direction,highs,True,kOptimal,True,True,0.0,616,616,0.0126551180001115,0.0121166800017817,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0247717980018932,25,72,4000000007.0
1000000000,103,Rational-direction,gurobi,True,2,True,True,0.0,616,616,0.0126551180001115,0.0041396810011065,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.016794799001218,25,72,4000000007.0
1000000,100,Rounded-direction,highs,False,kOptimal,True,True,3.1086244689504387e-15,534,534,0.0095305610011564,0.0081485579976288,1.0,25,215,74.0,True,4.9318442509347375e-14,original-100,original,False,True,True,True,0.0176791189987852,25,72,4000007.0
1000000,100,Rounded-direction,gurobi,False,2,True,True,0.0,534,534,0.0095305610011564,0.0053931219990772,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0149236830002336,25,72,4000007.0
1000000,100,Rounded-direction,highs,True,kOptimal,True,True,0.0,534,534,0.0095305610011564,0.0040350529998249,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.013565614000981299,25,72,4000007.0
1000000,100,Rounded-direction,gurobi,True,2,True,True,0.0,534,534,0.0095305610011564,0.0018573630004539,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0113879240016103,25,72,4000007.0
1000000,100,Rational-direction,highs,False,kOptimal,True,True,0.0,534,534,0.012019773999782,0.0135635820006427,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0255833560004247,25,72,4000007.0
