class,instance,status,records,error
sgtm,instance049.txt,complete,5,
sgtm,instance050.txt,complete,5,
sgtm,instance051.txt,complete,5,
sgtm,instance052.txt,complete,5,
sgtm,instance053.txt,complete,5,
sgtm,instance057.txt,complete,5,
sgtm,instance058.txt,complete,5,
sgtm,instance059.txt,complete,5,
sgtm,instance060.txt,complete,5,
sgtm,instance062.txt,complete,5,
sgtm,instance067.txt,complete,5,
sgtm,instance068.txt,complete,5,
sgtm,instance069.txt,complete,5,
sgtm,instance070.txt,complete,5,
sgtm,instance071.txt,complete,5,
sgtm,instance072.txt,complete,5,
sgtm,instance073.txt,complete,5,
sgtm,instance074.txt,complete,5,
sgtm,instance075.txt,complete,5,
sgtm,instance076.txt,complete,5,
sgtm,instance077.txt,complete,5,
sgtm,instance078.txt,complete,5,
sgtm,instance079.txt,complete,5,
sgtm,instance080.txt,complete,5,
sgtm,instance081.txt,complete,5,
sgtm,instance082.txt,complete,5,
sgtm,instance083.txt,complete,5,
sgtm,instance090.txt,complete,5,
sgtm,instance091.txt,complete,5,
sgtm,instance092.txt,complete,5,
sgtm,instance093.txt,complete,5,
sgtm,instance094.txt,complete,5,
sgtm,instance095.txt,complete,5,
sgtm,instance096.txt,complete,5,
