cell,instance,variant,status_solver,completed,solver_seconds,par10_seconds,work_recorded,work_native_log,work_native_resolution,work_rounding_mismatch,nodes,max_absolute_row_residual,max_rhs_normalized_residual,max_activity_normalized_residual,verification_available,absolute_1e6_pass,activity_1e8_pass,activity_1e6_pass,log
gurobi_sgtm_01pct,instance051.txt,role_hybrid,OPTIMAL,True,47.281861927,47.281861927,43.0,42.95,0.01,True,15963.0,1.63912773132324e-07,5.95434812566964e-12,2.84031209534881e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance051_role_hybrid.log
gurobi_sgtm_01pct,instance058.txt,base,OPTIMAL,True,57.387239062,57.387239062,64.499057,64.5,0.01,False,24512.0,2.27242708206177e-07,1.36424205265939e-11,4.26003623995987e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance058_base.log
gurobi_sgtm_01pct,instance058.txt,matricial_plano,OPTIMAL,True,75.662903499,75.662903499,87.0,87.04,0.01,True,39862.0,4.76837158203125e-07,2.74447131687339e-13,2.21779307760259e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance058_matricial_plano.log
gurobi_sgtm_01pct,instance058.txt,matricial_plano_l2,OPTIMAL,True,41.508468986,41.508468986,48.0,47.66,0.01,True,17447.0,7.15255737304688e-07,1.45519152283669e-11,4.54403865595719e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance058_matricial_plano_l2.log
gurobi_sgtm_01pct,instance058.txt,role_hybrid,OPTIMAL,True,70.105412297,70.105412297,83.0,82.59,0.01,True,34757.0,4.76837158203125e-07,2.74447131687339e-13,2.21779307760259e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance058_role_hybrid.log
gurobi_sgtm_01pct,instance068.txt,base,OPTIMAL,True,5.510204717,5.510204717,5.302133,5.3,0.01,False,5675.0,2.30967998504639e-07,1.81366033302766e-12,8.97693071841623e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance068_base.log
gurobi_sgtm_01pct,instance068.txt,matricial_plano,OPTIMAL,True,2.601461832,2.601461832,2.0,2.24,0.01,True,1690.0,5.62518835067749e-07,5.53335155473178e-13,7.76539470207177e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance068_matricial_plano.log
gurobi_sgtm_01pct,instance068.txt,matricial_plano_l2,OPTIMAL,True,2.314761867,2.314761867,2.0,2.0,0.01,False,2534.0,6.40749931335449e-07,1.785993575254e-11,9.17776760151086e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance068_matricial_plano_l2.log
gurobi_sgtm_01pct,instance068.txt,role_hybrid,OPTIMAL,True,5.270720123,5.270720123,3.0,3.32,0.01,True,2976.0,6.25848770141602e-07,2.60236276972137e-13,1.42266773167728e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance068_role_hybrid.log
gurobi_sgtm_01pct,instance072.txt,base,OPTIMAL,True,44.634373003,44.634373003,45.85058,45.85,0.01,False,13296.0,1.19209289550781e-07,3.12638803734444e-13,3.93562622107093e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance072_base.log
gurobi_sgtm_01pct,instance072.txt,matricial_plano,OPTIMAL,True,39.233583212,39.233583212,41.0,40.77,0.01,True,14457.0,2.83122062683105e-07,2.79101186606567e-11,9.64491709259337e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance072_matricial_plano.log
gurobi_sgtm_01pct,instance072.txt,matricial_plano_l2,OPTIMAL,True,40.063965654,40.063965654,45.0,45.39,0.01,True,9880.0,3.04542481899261e-07,5.11590769747272e-13,2.22470794185923e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance072_matricial_plano_l2.log
gurobi_sgtm_01pct,instance072.txt,role_hybrid,OPTIMAL,True,40.55781525,40.55781525,44.0,43.86,0.01,True,20706.0,3.57627868652344e-07,6.53699316899292e-12,2.04522171458757e-15,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance072_role_hybrid.log
gurobi_sgtm_01pct,instance077.txt,base,OPTIMAL,True,1671.330664009,1671.330664009,1705.80675,1705.81,0.01,False,1183639.0,1.19209289550781e-07,2.55795384873636e-13,1.13028513645363e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance077_base.log
gurobi_sgtm_01pct,instance077.txt,matricial_plano,TIME_LIMIT,False,1800.101634282,18000.0,1754.0,1754.27,0.01,True,1544610.0,5.7220458984375e-06,1.67865721323324e-11,1.74751695604419e-13,True,False,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance077_matricial_plano.log
gurobi_sgtm_01pct,instance077.txt,matricial_plano_l2,TIME_LIMIT,False,1800.137535172,18000.0,1747.0,1747.49,0.01,True,1515954.0,0.00100316293537617,5.81218753126223e-08,4.42056381795001e-11,True,False,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance077_matricial_plano_l2.log
gurobi_sgtm_01pct,instance077.txt,role_hybrid,TIME_LIMIT,False,1800.075620498,18000.0,1713.0,1713.15,0.01,True,2174427.0,0.000553131103515625,5.6859512653773e-09,7.20560259774396e-11,True,False,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance077_role_hybrid.log
gurobi_sgtm_01pct,instance081.txt,base,OPTIMAL,True,4.213927475,4.213927475,4.238822,4.24,0.01,False,2749.0,2.38418579101562e-07,9.93591715570119e-08,8.14419439058229e-11,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance081_base.log
gurobi_sgtm_01pct,instance081.txt,matricial_plano,OPTIMAL,True,2.804455977,2.804455977,3.0,2.77,0.01,True,3503.0,6.70552253723145e-07,2.75335310107039e-13,1.79827196427424e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance081_matricial_plano.log
gurobi_sgtm_01pct,instance081.txt,matricial_plano_l2,OPTIMAL,True,2.72994241,2.72994241,3.0,2.75,0.01,True,3698.0,7.26431608200073e-07,2.76667577736589e-13,6.98913178212469e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance081_matricial_plano_l2.log
gurobi_sgtm_01pct,instance081.txt,role_hybrid,OPTIMAL,True,2.943662864,2.943662864,3.0,2.72,0.01,True,1847.0,6.70552253723145e-07,2.95319324550292e-13,1.55405860123664e-16,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance081_role_hybrid.log
gurobi_sgtm_01pct,instance092.txt,base,OPTIMAL,True,33.862764709,33.862764709,46.443659,46.44,0.01,False,27650.0,1.15483999252319e-07,2.35900188272353e-11,1.24853126622139e-14,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance092_base.log
gurobi_sgtm_01pct,instance092.txt,matricial_plano,OPTIMAL,True,38.464973292,38.464973292,53.0,53.13,0.01,True,17187.0,2.86847352981567e-07,5.30917532159947e-11,1.6723309875365e-14,True,True,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance092_matricial_plano.log
gurobi_sgtm_01pct,instance092.txt,matricial_plano_l2,OPTIMAL,True,34.777103015,34.777103015,48.0,47.82,0.01,True,20586.0,1.43051147460938e-06,5.28075361216906e-11,2.57124944148916e-14,True,False,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance092_matricial_plano_l2.log
gurobi_sgtm_01pct,instance092.txt,role_hybrid,OPTIMAL,True,49.430066853,49.430066853,72.0,71.85,0.01,True,20905.0,1.66893005371094e-06,2.34763319895137e-11,1.30053727140567e-14,True,False,True,True,results-revision/final-variants/gurobi_sgtm_01pct/logs/instance092_role_hybrid.log
gurobi_sgtm_1pct,instance001.txt,base,OPTIMAL,True,55.523732753,55.523732753,55.376262,55.38,0.01,False,27232.0,2.34693288803101e-07,1.93267624126747e-12,8.94239172092344e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance001_base.log
