instance,perm_index,is_true_map,kappa2_pos
coupling_S6_seed20250809,19,0,4.686608e+03
coupling_S6_seed20250809,20,0,4.769511e+03
coupling_S6_seed20250809,21,0,9.383391e+04
coupling_S6_seed20250809,22,0,6.635208e+03
coupling_S6_seed20250809,23,0,9.383419e+04
coupling_S6_seed20250810,0,1,4.258592e+03
coupling_S6_seed20250810,1,0,6.196062e+02
coupling_S6_seed20250810,2,0,6.157446e+02
coupling_S6_seed20250810,3,0,4.694180e+03
coupling_S6_seed20250810,4,0,6.358662e+02
coupling_S6_seed20250810,5,0,4.694182e+03
coupling_S6_seed20250810,6,0,6.099725e+02
coupling_S6_seed20250810,7,0,6.320755e+02
coupling_S6_seed20250810,8,0,3.882764e+03
coupling_S6_seed20250810,9,0,8.779811e+04
coupling_S6_seed20250810,10,0,3.884150e+03
coupling_S6_seed20250810,11,0,8.779811e+04
coupling_S6_seed20250810,12,0,6.273344e+02
coupling_S6_seed20250810,13,0,4.695965e+03
coupling_S6_seed20250810,14,0,3.882775e+03
coupling_S6_seed20250810,15,0,8.779811e+04
coupling_S6_seed20250810,16,0,5.224444e+03
coupling_S6_seed20250810,17,0,8.779819e+04
coupling_S6_seed20250810,18,0,6.476989e+02
coupling_S6_seed20250810,19,0,4.695967e+03
coupling_S6_seed20250810,20,0,3.884162e+03
coupling_S6_seed20250810,21,0,8.779811e+04
coupling_S6_seed20250810,22,0,5.224444e+03
coupling_S6_seed20250810,23,0,8.779819e+04
coupling_S6_seed20250811,0,1,6.473894e+03
coupling_S6_seed20250811,1,0,1.138316e+03
coupling_S6_seed20250811,2,0,1.142545e+03
coupling_S6_seed20250811,3,0,5.025673e+03
coupling_S6_seed20250811,4,0,1.149290e+03
coupling_S6_seed20250811,5,0,5.025679e+03
coupling_S6_seed20250811,6,0,1.135696e+03
coupling_S6_seed20250811,7,0,1.142376e+03
coupling_S6_seed20250811,8,0,4.130439e+03
coupling_S6_seed20250811,9,0,5.749741e+04
coupling_S6_seed20250811,10,0,4.131835e+03
coupling_S6_seed20250811,11,0,5.749741e+04
coupling_S6_seed20250811,12,0,1.146633e+03
coupling_S6_seed20250811,13,0,5.028277e+03
coupling_S6_seed20250811,14,0,4.130448e+03
coupling_S6_seed20250811,15,0,5.749741e+04
coupling_S6_seed20250811,16,0,6.178451e+03
coupling_S6_seed20250811,17,0,5.749741e+04
coupling_S6_seed20250811,18,0,1.153389e+03
coupling_S6_seed20250811,19,0,5.028283e+03
coupling_S6_seed20250811,20,0,4.131844e+03
coupling_S6_seed20250811,21,0,5.749741e+04
coupling_S6_seed20250811,22,0,6.178451e+03
coupling_S6_seed20250811,23,0,5.749741e+04
coupling_S6_seed20250812,0,1,6.994802e+03
coupling_S6_seed20250812,1,0,1.504426e+03
coupling_S6_seed20250812,2,0,1.511524e+03
coupling_S6_seed20250812,3,0,4.168243e+03
coupling_S6_seed20250812,4,0,1.520153e+03
coupling_S6_seed20250812,5,0,4.168254e+03
coupling_S6_seed20250812,6,0,1.500698e+03
coupling_S6_seed20250812,7,0,1.509363e+03
coupling_S6_seed20250812,8,0,4.545847e+03
coupling_S6_seed20250812,9,0,1.153851e+05
coupling_S6_seed20250812,10,0,4.548813e+03
coupling_S6_seed20250812,11,0,1.153851e+05
coupling_S6_seed20250812,12,0,1.516438e+03
coupling_S6_seed20250812,13,0,4.169822e+03
coupling_S6_seed20250812,14,0,4.545851e+03
coupling_S6_seed20250812,15,0,1.153851e+05
coupling_S6_seed20250812,16,0,5.992255e+03
coupling_S6_seed20250812,17,0,1.153851e+05
coupling_S6_seed20250812,18,0,1.525049e+03
coupling_S6_seed20250812,19,0,4.169832e+03
coupling_S6_seed20250812,20,0,4.548817e+03
coupling_S6_seed20250812,21,0,1.153851e+05
coupling_S6_seed20250812,22,0,5.992255e+03
coupling_S6_seed20250812,23,0,1.153851e+05
coupling_S6_seed20250813,0,1,7.589022e+03
coupling_S6_seed20250813,1,0,1.117554e+03
coupling_S6_seed20250813,2,0,1.108529e+03
coupling_S6_seed20250813,3,0,4.819032e+03
coupling_S6_seed20250813,4,0,1.124582e+03
coupling_S6_seed20250813,5,0,4.819037e+03
coupling_S6_seed20250813,6,0,1.108541e+03
coupling_S6_seed20250813,7,0,1.124523e+03
coupling_S6_seed20250813,8,0,3.070975e+03
coupling_S6_seed20250813,9,0,1.027964e+05
coupling_S6_seed20250813,10,0,3.079459e+03
coupling_S6_seed20250813,11,0,1.027964e+05
coupling_S6_seed20250813,12,0,1.115554e+03
coupling_S6_seed20250813,13,0,4.820543e+03
coupling_S6_seed20250813,14,0,3.070980e+03
coupling_S6_seed20250813,15,0,1.027964e+05
coupling_S6_seed20250813,16,0,5.632891e+03
coupling_S6_seed20250813,17,0,1.027965e+05
coupling_S6_seed20250813,18,0,1.131519e+03
coupling_S6_seed20250813,19,0,4.820547e+03
coupling_S6_seed20250813,20,0,3.079464e+03
coupling_S6_seed20250813,21,0,1.027964e+05
coupling_S6_seed20250813,22,0,5.632891e+03
coupling_S6_seed20250813,23,0,1.027965e+05
coupling_S6_seed20250814,0,1,1.237346e+04
coupling_S6_seed20250814,1,0,2.023427e+03
coupling_S6_seed20250814,2,0,2.022559e+03
coupling_S6_seed20250814,3,0,5.559813e+03
coupling_S6_seed20250814,4,0,2.031219e+03
coupling_S6_seed20250814,5,0,5.559816e+03
coupling_S6_seed20250814,6,0,2.143388e+03
coupling_S6_seed20250814,7,0,2.026319e+03
coupling_S6_seed20250814,8,0,4.787026e+03
coupling_S6_seed20250814,9,0,1.046693e+05
coupling_S6_seed20250814,10,0,4.790550e+03
coupling_S6_seed20250814,11,0,1.046693e+05
coupling_S6_seed20250814,12,0,2.025357e+03
coupling_S6_seed20250814,13,0,5.560891e+03
coupling_S6_seed20250814,14,0,4.787029e+03
coupling_S6_seed20250814,15,0,1.046693e+05
coupling_S6_seed20250814,16,0,6.923219e+03
coupling_S6_seed20250814,17,0,1.046694e+05
coupling_S6_seed20250814,18,0,2.034106e+03
coupling_S6_seed20250814,19,0,5.560894e+03
coupling_S6_seed20250814,20,0,4.790553e+03
coupling_S6_seed20250814,21,0,1.046693e+05
coupling_S6_seed20250814,22,0,6.923219e+03
coupling_S6_seed20250814,23,0,1.046694e+05
coupling_S6_seed20250815,0,1,7.790682e+03
coupling_S6_seed20250815,1,0,1.360128e+03
coupling_S6_seed20250815,2,0,1.377872e+03
coupling_S6_seed20250815,3,0,4.962494e+03
coupling_S6_seed20250815,4,0,1.377204e+03
coupling_S6_seed20250815,5,0,4.962504e+03
coupling_S6_seed20250815,6,0,1.351044e+03
coupling_S6_seed20250815,7,0,1.367666e+03
coupling_S6_seed20250815,8,0,4.692978e+03
coupling_S6_seed20250815,9,0,9.722562e+04
coupling_S6_seed20250815,10,0,4.697986e+03
coupling_S6_seed20250815,11,0,9.722562e+04
coupling_S6_seed20250815,12,0,1.368117e+03
coupling_S6_seed20250815,13,0,4.964476e+03
