model_id,method,assignments,original_feasible,exported_feasible,excluded_original_feasible,added_original_infeasible,same_binary_set
packing_s105_e0,GCD-floor-GM,4096,1567,1452,115,0,False
packing_s105_e0,GCD-midgap-GM,4096,1567,1567,0,0,True
packing_s105_e3,GCD-floor,4096,1567,1567,0,0,True
packing_s105_e3,GCD-floor-GM,4096,1567,1452,115,0,False
packing_s105_e3,GCD-midgap-GM,4096,1567,1567,0,0,True
packing_s105_e6,GCD-floor,4096,1567,1567,0,0,True
packing_s105_e6,GCD-floor-GM,4096,1567,1452,115,0,False
packing_s105_e6,GCD-midgap-GM,4096,1567,1567,0,0,True
packing_s105_e9,GCD-floor,4096,1567,1567,0,0,True
packing_s105_e9,GCD-floor-GM,4096,1567,1452,115,0,False
packing_s105_e9,GCD-midgap-GM,4096,1567,1567,0,0,True
packing_s106_e0,GCD-floor,4096,1754,1754,0,0,True
packing_s106_e0,GCD-floor-GM,4096,1754,1661,93,0,False
packing_s106_e0,GCD-midgap-GM,4096,1754,1754,0,0,True
packing_s106_e3,GCD-floor,4096,1754,1754,0,0,True
packing_s106_e3,GCD-floor-GM,4096,1754,1661,93,0,False
packing_s106_e3,GCD-midgap-GM,4096,1754,1754,0,0,True
packing_s106_e6,GCD-floor,4096,1754,1754,0,0,True
packing_s106_e6,GCD-floor-GM,4096,1754,1661,93,0,False
packing_s106_e6,GCD-midgap-GM,4096,1754,1754,0,0,True
packing_s106_e9,GCD-floor,4096,1754,1754,0,0,True
packing_s106_e9,GCD-floor-GM,4096,1754,1661,93,0,False
packing_s106_e9,GCD-midgap-GM,4096,1754,1754,0,0,True
packing_s107_e0,GCD-floor,4096,1702,1702,0,0,True
packing_s107_e0,GCD-floor-GM,4096,1702,1644,58,0,False
packing_s107_e0,GCD-midgap-GM,4096,1702,1702,0,0,True
packing_s107_e3,GCD-floor,4096,1702,1702,0,0,True
packing_s107_e3,GCD-floor-GM,4096,1702,1644,58,0,False
packing_s107_e3,GCD-midgap-GM,4096,1702,1702,0,0,True
packing_s107_e6,GCD-floor,4096,1702,1702,0,0,True
packing_s107_e6,GCD-floor-GM,4096,1702,1644,58,0,False
packing_s107_e6,GCD-midgap-GM,4096,1702,1702,0,0,True
packing_s107_e9,GCD-floor,4096,1702,1702,0,0,True
packing_s107_e9,GCD-floor-GM,4096,1702,1644,58,0,False
packing_s107_e9,GCD-midgap-GM,4096,1702,1702,0,0,True
signed_s100_e0,GCD-floor,4096,3362,3362,0,0,True
signed_s100_e0,GCD-floor-GM,4096,3362,3277,85,0,False
signed_s100_e0,GCD-midgap-GM,4096,3362,3362,0,0,True
signed_s100_e3,GCD-floor,4096,3362,3362,0,0,True
signed_s100_e3,GCD-floor-GM,4096,3362,3277,85,0,False
signed_s100_e3,GCD-midgap-GM,4096,3362,3362,0,0,True
signed_s100_e6,GCD-floor,4096,3362,3362,0,0,True
signed_s100_e6,GCD-floor-GM,4096,3362,3277,85,0,False
signed_s100_e6,GCD-midgap-GM,4096,3362,3362,0,0,True
signed_s100_e9,GCD-floor,4096,3362,3362,0,0,True
signed_s100_e9,GCD-floor-GM,4096,3362,3277,85,0,False
