run_id,highs_model_status,highs_run_status,solver_self_check_rejected,solver_self_check_infeasibilities,model_warnings
pilot-highs-completo-v1_completo_000130-Base-g0.01-s1,Time limit reached,1,False,,
pilot-highs-completo-v1_completo_000293-Base-g0.001-s1,Solve error,-1,True,1/6.67423e-05/9.44798e-05,
pilot-highs-completo-v1_completo_000293-Base-g0.01-s1,Solve error,-1,True,1/6.67423e-05/9.44798e-05,
pilot-highs-completo-v1_completo_000456-Base-g0.01-s1,Time limit reached,1,False,,
pilot-highs-completo-v1_completo_000459-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-completo-v1_completo_000459-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-completo-v1_completo_000477-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-completo-v1_completo_000477-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000048-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000048-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000193-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000193-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000205-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000205-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000274-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000274-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000292-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000292-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000294-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000294-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000315-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000315-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000362-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000362-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000402-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000402-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000497-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-sgtm-v1_sgtm_000497-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-simple-v1_simple_000034-Base-g0.001-s1,Time limit reached,1,False,,
pilot-highs-simple-v1_simple_000034-Base-g0.01-s1,Time limit reached,1,False,,
pilot-highs-simple-v1_simple_000046-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-simple-v1_simple_000046-Base-g0.01-s1,Solve error,-1,True,3/2.83832e-06/7.32882e-05,
pilot-highs-simple-v1_simple_000095-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-simple-v1_simple_000095-Base-g0.01-s1,Solve error,-1,True,1/1.5148e-06/6.8897e-05,
pilot-highs-simple-v1_simple_000147-Base-g0.001-s1,Time limit reached,1,False,,
pilot-highs-simple-v1_simple_000147-Base-g0.01-s1,Solve error,-1,True,1/8.14675e-06/6.13759e-05,
pilot-highs-simple-v1_simple_000204-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-simple-v1_simple_000204-Base-g0.01-s1,Time limit reached,1,False,,
pilot-highs-simple-v1_simple_000265-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-simple-v1_simple_000265-Base-g0.01-s1,Optimal,0,False,,
pilot-highs-simple-v1_simple_000272-Base-g0.001-s1,Optimal,0,False,,
pilot-highs-simple-v1_simple_000272-Base-g0.01-s1,Solve error,-1,True,1/1.23656e-06/5.91996e-05,
pilot-highs-simple-v1_simple_000305-Base-g0.001-s1,Solve error,-1,True,3/1.21212e-05/7.61298e-05,
pilot-highs-simple-v1_simple_000305-Base-g0.01-s1,Solve error,-1,True,1/2.32644e-06/6.19184e-05,
pilot-highs-simple-v1_simple_000361-Base-g0.001-s1,Time limit reached,1,False,,
pilot-highs-simple-v1_simple_000361-Base-g0.01-s1,Time limit reached,1,False,,
pilot-highs-simple-v1_simple_000431-Base-g0.001-s1,Solve error,-1,True,1/1.99978e-06/4.30968e-05,
pilot-highs-simple-v1_simple_000431-Base-g0.01-s1,Optimal,0,False,,
