stage,family,solver,gap,seed,instance,policies,max_rel_objective_gap,worst_policy,above_target_gap
primary,Simple,cplex,0.001,1,v1_simple_000113,4,5.0621145409949186e-05,Flat-L2,False
primary,Simple,cplex,0.001,1,v1_simple_000160,4,8.19722714313445e-05,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000176,4,7.165671677937845e-16,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000234,4,4.3309638279878924e-05,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000257,4,9.659980108340754e-07,Flat-L2,False
primary,Simple,cplex,0.001,1,v1_simple_000359,4,9.471993325073267e-05,Flat-L2,False
primary,Simple,cplex,0.001,1,v1_simple_000366,4,3.592839150053045e-07,Flat-GM,False
primary,Simple,cplex,0.001,1,v1_simple_000439,4,0.00031867268777671973,Flat-L2,False
primary,Simple,cplex,0.001,1,v1_simple_000470,4,6.679606272124857e-06,Flat-L2,False
primary,Simple,cplex,0.001,1,v1_simple_000479,4,0.0008259964432390374,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000001,4,0.0013242669565304201,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000005,4,0.00795869111270612,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000006,4,0.0029994021086558373,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000009,4,0.006427275625474862,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000010,4,0.0016222318166469827,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000011,4,0.0040749795097754305,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000012,4,2.2094050316444363e-06,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000013,4,0.000223734362631861,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000014,4,6.588983484632096e-05,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000015,4,0.0003392389833244937,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000016,4,0.009755681419303872,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000017,4,0.0,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000018,4,1.6713547734958877e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000019,4,0.00786816538999079,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000020,4,0.005060396267073637,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000021,4,4.397677801926785e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000023,4,0.004314873370574978,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000025,4,2.1877370102599553e-16,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000026,4,9.28888813344057e-15,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000027,4,2.5408951737175527e-09,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000028,4,1.5055799552587264e-05,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000029,4,0.007292519178342786,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000030,4,0.0,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000031,4,1.535468764822805e-05,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000032,4,1.9610834083487694e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000033,4,0.005562913290807504,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000035,4,0.006049986540466482,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000037,4,0.0,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000039,4,1.9675888893201288e-16,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000041,4,2.7287604769482037e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000042,4,0.006486948861403888,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000043,4,0.0068664156998979875,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000045,4,0.0005994320808007609,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000047,4,0.011689479732180118,Flat-GM,True
primary,Simple,cplex,0.01,1,v1_simple_000050,4,1.915385052946181e-16,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000052,4,2.1263368188836544e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000053,4,0.004173240540962781,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000054,4,2.636685521935307e-06,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000055,4,0.0033365759990424864,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000056,4,2.1321053710292693e-16,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000057,4,0.005447750828631531,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000058,4,0.002166149391659279,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000059,4,0.004112023881693011,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000060,4,0.009758477955998008,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000061,4,1.1378088191483983e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000062,4,0.00035599345314518417,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000063,4,0.0006123686338161822,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000064,4,0.004637760407575845,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000065,4,6.225927839392559e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000066,4,0.004866257204298669,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000067,4,0.001094963903014019,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000069,3,0.008694587605695421,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000070,4,1.6182027053069001e-16,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000071,4,0.0002124844158266615,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000072,4,0.004562467162418931,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000073,4,0.0067493235411283286,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000074,4,0.006302871792042617,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000076,4,0.0024632073909574763,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000077,4,2.1246233749145107e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000078,4,0.0033774646862999454,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000079,4,1.397311793849056e-06,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000080,4,0.007101531450998367,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000081,4,1.8429686194199826e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000082,4,0.00021837432723685295,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000083,4,0.006680525349300683,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000084,4,0.004101198623622752,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000085,4,0.004817556232774424,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000086,4,0.0027783058941180066,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000087,4,3.101626148176185e-05,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000088,4,0.002555569926829427,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000090,4,0.0,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000091,4,1.349638679968732e-06,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000092,4,2.059007834682266e-06,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000093,4,0.0029657314701644977,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000094,4,7.302668595827196e-09,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000096,4,0.00046905966485642276,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000097,4,0.0014655302618543455,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000098,4,0.005934278960551344,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000099,4,0.001710831808708723,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000100,4,0.0017093188265867947,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000101,4,0.0022140548843172557,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000102,4,1.592158075057406e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000103,4,5.9510558942678406e-08,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000104,4,0.0010573175206363915,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000105,4,7.407438350881509e-05,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000106,4,4.4627265669769573e-07,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000108,4,6.382174020970548e-06,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000109,4,0.0006866490400363195,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000110,4,0.005080928575106089,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000111,4,0.004094341415130301,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000112,4,1.8878177882930641e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000113,4,0.006335075158396382,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000114,4,0.0,Flat-GM,False
